"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4006","HAISLEY LYNCH POST 16 AMERICAN LEGION","11AL","","4701 NW 6TH ST","","","GAINESVILLE","FL","32601","11","HAISLEY LYNCH POST 16 AMERICAN LEGION","4701 NW 6TH STREET","","","GAINESVILLE","FL","32601","11","BEV1100103","20","20","","10/21/2003","09/30/2026","","",""
"400","4006","SAULS BRIDGE POST #13 AM LEGION INC","11AL","","P O BOX 38028","","","TALLAHASSEE","FL","323158028","47","SAULS BRIDGE POST #13 AM LEGION","229 LAKE ELLA DRIVE","","","TALLAHASSEE","FL","32303","47","BEV4700219","20","20","","08/02/2002","09/30/2026","","",""
"400","4006","HYDE PARK GOLF & C C INC","11CG","","6439 HYDE GROVE AVE","","","JACKSONVILLE","FL","322102898","26","HYDE PARK GOLF & CNTRY CL","6439 HYDE GROVE AVE","","","JACKSONVILLE","FL","32201","26","BEV2600252","20","20","","08/02/2002","09/30/2027","","","DUAL"
"400","4006","COVE CAY COUNTRY CLUB INC","11CG","","2612 COVE CAY DRIVE","","","CLEARWATER","FL","33760","62","COVE CAY COUNTRY CLUB INC","2612 COVE CAY DRIVE","","","CLEARWATER","FL","34620","62","BEV6201226","20","20","","08/02/2002","09/30/2027","","","DUAL"
"400","4006","COUNTRYSIDE COUNTRY CLUB INC","11CG","","5221 NORTH O'CONNOR BLVD","SUITE 300","","IRVING","TX","75039","744","COUNTRYSIDE COUNTRY CLUB (THE)","3001 COUNTRYSIDE BLVD","","","CLEARWATER","FL","34615","62","BEV6200079","20","20","","01/01/1901","09/30/2027","","","DUAL"
"400","4006","CITY OF PALATKA","11CG","","201 N SECOND STREET","","","PALATKA","FL","321771100","64","PALATKA MUNICIPAL GOLF COURSE","1715 MOSLEY AVENUE","","","PALATKA","FL","32177","64","BEV6400083","20","20","","08/02/2002","09/30/2026","","","DUAL"
"400","4006","AVILA GOLF & COUNTRY CLUB INC","11CG","","943 GUISANDO DE AVILA","","","TAMPA","FL","33613","39","AVILA GOLF & COUNTRY CLUB INC","943 GUISANDO DEAVILA","","","TAMPA","FL","33601","39","BEV3901825","20","20","","08/02/2002","09/30/2026","","","DUAL"
"400","4006","SANTA ROSA GOLF & BEACH CLUB INC","11CG","","4801 W Co Hw 4801 W CO HWY 30A","","","SANTA ROSA BEACH","FL","32459","76","SANTA ROSA GOLF & BEACH CLUB","HWY 30A SOUTH RFD","","","SANTA ROSA BEACH","FL","32459","76","BEV7600086","20","20","","08/02/2002","09/30/2027","","",""
"400","4006","SANGAREE OIL COMPANY INC","1APS","","PO DRAWER 370","","","MARIANNA","FL","324470027","42","HANDI-MART #2","5256 HIGHWAY 231","","","CAMPBELLTON","FL","32426","42","BEV4200191","20","20","","10/26/2007","09/30/2027","","","DUAL"
"400","4006","NEMEH COMPANY","1APS","","PO BOX 880","","","WIMAUMA","FL","33598","39","WIMAUMA SUPERMARKET","5819 STATE RD 674","","","WIMAUMA","FL","33598","39","BEV3900394","20","20","","08/02/2002","09/30/2026","","","DUAL"
"400","4006","COSCE LEO & JOANNE","1APS","","14400 REESE DR","","","LAKE WALES","FL","338988352","63","CAMP LESTER","KISSIMMEE RIVER 16 MI E","","","LAKE WALES","FL","33853","63","BEV6300157","20","20","","03/04/2002","03/31/2027","","",""
"400","4006","SANGAREE OIL COMPANY INC","1APS","","PO DRAWER 370","","","MARIANNA","FL","324470027","42","HANDI-MART #1","2184 HIGHWAY 231","","","MARIANNA","FL","32447","42","BEV4200224","20","20","","10/26/2007","09/30/2027","","","DUAL"
