Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
49375;"Tennessee Whiskey";"Chris Stapleton";2015;0;0;2015-07-21;Blues,Country,Soul,Rock;English
6534;"Sweet Caroline";"Neil Diamond";1969;0;0;2011-05-31;Pop;English
12543;Creep;Radiohead;1992;0;1;2008-03-07;Rock,Alternative;English
90690;"Choosin' Texas";"Ella Langley";2025;0;0;2025-11-13;Country;English
56442;Shallow;"A Star is Born (2018 film)";2018;1;0;2018-10-15;Soundtrack,Pop,Duet;English
14121;"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country,Folk;English
12617;"Bohemian Rhapsody";Queen;1975;0;0;2008-07-21;Rock;English
5632;"Mr. Brightside";"The Killers";2003;0;0;2016-03-21;Alternative,Pop,Rock;English
14609;"Don't Stop Believin'";Journey;1981;0;0;2008-01-22;Rock,Pop;English
53998;Valerie;"Amy Winehouse";2007;0;0;2018-01-23;Pop,Soul;English
13469;"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country;English
7300;"Dancing Queen";ABBA;1976;0;0;2015-03-27;Disco,Pop;English
5103;"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Jazz,Pop;English
14236;Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative;English
6475;"What's Up? ";"4 Non Blondes";1993;0;0;2015-11-05;Rock,Pop;English
8530;"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop";English
11646;"J'irai où tu iras";"Céline Dion";1995;1;0;2016-03-21;"French pop,Duet";French
79097;"Pink Pony Club";"Chappell Roan";2020;0;0;2024-02-05;Pop;English
11335;Wonderwall;Oasis;1995;0;0;2011-05-31;Rock,Alternative;English
36600;"Can't Help Falling in Love";"Elvis Presley";1961;0;0;2011-05-30;Love,Soundtrack;English
6117;"Total Eclipse of the Heart";"Bonnie Tyler";1983;0;0;2011-05-30;Pop,Rock;English
7064;Picture;"Kid Rock";2001;1;0;2015-09-09;Country,Duet;English
6229;"Neon Moon";"Brooks & Dunn";1991;0;0;2011-05-31;Country;English
10973;Dreams;"Fleetwood Mac";1977;0;0;2016-03-25;"Soft rock";English
5318;Unwritten;"Natasha Bedingfield";2004;0;0;2007-09-10;"Pop,Soft rock,Teen pop";English
19332;"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock";English
13272;"Teenage Dirtbag";Wheatus;2000;0;1;2011-11-29;Alternative,Rock,Soundtrack;English
7125;"Friends in Low Places";"Garth Brooks";1990;0;0;2007-05-31;Country;English
5468;"I Wanna Dance with Somebody";"Whitney Houston";1987;0;0;2012-03-05;Synthpop,Pop;English
41659;"Beauty and a Beat";"Justin Bieber";2012;0;1;2012-10-17;"Dance,Pop,R&B,Teen pop";English
12258;"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop,Funk;English
88727;Golden;"KPop Demon Hunters";2025;1;0;2025-07-28;Soundtrack,Duet;English,Korean
36011;"Someone Like You";Adele;2011;0;0;2011-05-30;Pop,Soul,Love;English
11902;"Confessions nocturnes";Diam's;2006;1;1;2016-12-07;Rap,Hip-Hop,R&B,Duet;French
9673;"Man! I Feel Like a Woman!";"Shania Twain";1996;0;0;2016-03-21;Country,Pop;English
24207;"Party in the U.S.A.";"Miley Cyrus";2009;0;0;2011-05-30;"Teen pop";English
27935;Baby;"Justin Bieber";2010;1;0;2011-05-30;"Teen pop,Duet";English
16401;"Your Man";"Josh Turner";2005;0;0;2011-11-30;Country;English
5921;"I Will Survive";"Gloria Gaynor";1978;0;0;2007-05-04;Disco;English
7302;"Mamma Mia";ABBA;1975;0;0;2015-06-17;Disco,Pop;English
12320;Jolene;"Dolly Parton";1973;0;0;2011-05-31;Country;English
73087;Flowers;"Miley Cyrus";2023;0;0;2023-01-25;Pop;English
7383;Kryptonite;"3 Doors Down";2000;0;0;2008-03-21;Rock;English
5952;"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet";French
11998;"Back to Black";"Amy Winehouse";2006;0;1;2008-03-25;Soul;English
15439;"Have You Ever Seen the Rain";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk;English
6656;"Folsom Prison Blues";"Johnny Cash";1955;0;0;2007-05-04;Country;English
75892;"Lose Control";"Teddy Swims";2023;0;0;2023-07-26;Soul;English
82143;"You Look Like You Love Me";"Ella Langley";2024;1;0;2024-07-22;Country,Duet;English
6213;"Bring Me to Life";Evanescence;2003;1;0;2007-05-04;Rock,Alternative,Punk/Grunge,Soundtrack,Duet;English
8747;Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock;English
12689;"Beat It";"Michael Jackson";1983;0;0;2011-05-31;Rock,Pop,Synthpop;English
10815;"Killing Me Softly";"The Fugees";1996;0;1;2007-05-04;R&B,Hip-Hop;English
42231;Stay;Rihanna;2012;1;0;2013-01-16;Love,R&B,Soul,Duet;English
5476;"Ring of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll";English
89718;"Man I Need";"Olivia Dean";2025;0;0;2025-09-18;Soul,Pop;English
45000;"All of Me";"John Legend";2013;0;0;2013-10-08;Love,Soul,Pop;English
8203;"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock;English
35287;"Rolling in the Deep";Adele;2010;0;0;2011-09-05;Pop,Soul;English
12913;"Stand by Me";"Ben E. King";1962;0;0;2008-07-25;Soul;English
43412;"Wagon Wheel";"Darius Rucker";2013;0;0;2013-07-01;Country;English
18179;"Sarà perché ti amo";"Ricchi e Poveri";1981;1;0;2011-05-30;Pop,Duet;Italian
11342;Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Teen pop,Pop";English
45873;"Let It Go";"Frozen (2013 film)";2013;0;0;2015-04-08;Soundtrack,Pop;English
5919;"...Baby One More Time";"Britney Spears";1998;0;0;2007-05-04;"Teen pop";English
8164;"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,Synthpop";French
9025;Iris;"Goo Goo Dolls";1998;0;0;2007-05-04;Soundtrack,Pop,Rock;English
6817;"Courtesy of the Red, White and Blue (The Angry American)";"Toby Keith";2002;0;0;2011-07-07;Country;English
27932;Santeria;Sublime;1996;0;0;2011-11-28;Reggae,Rock;English
13717;"Fly Me to the Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz,Love;English
6126;Crazy;"Patsy Cline";1961;0;0;2007-05-04;Jazz,Love;English
39669;Tequila;"The Champs";1958;0;0;2012-02-08;"Latin Music,Rock 'n Roll";Spanish
5091;"Ma philosophie";"Amel Bent";2004;0;0;2012-01-25;"R&B,French pop";French
9066;"My Girl";"The Temptations";1965;0;0;2007-06-18;Soul;English
10592;"Losing My Religion";R.E.M.;1991;0;0;2012-01-27;Rock,Alternative;English
11022;"La tribu de Dana";Manau;1998;0;0;2016-02-25;"Rap,Hip-Hop,French pop,Traditional";French
9965;"These Boots Are Made for Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Rock 'n Roll,Country";English
56466;"Always Remember Us This Way";"A Star is Born (2018 film)";2018;0;0;2018-11-05;Soundtrack,Pop;English
5942;"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;Soundtrack,Love,Pop;English
5940;"Pour que tu m'aimes encore";"Céline Dion";1995;0;0;2016-06-04;"French pop";French
13033;"Livin' on a Prayer";"Bon Jovi";1986;0;0;2015-12-27;"Rock,Hard Rock";English
31461;"Amarillo by Morning";"George Strait";1983;0;0;2012-11-19;Country;English
8110;"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,Synthpop";French
17888;"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz;English
14228;"Careless Whisper";"George Michael";1984;0;0;2011-05-30;Pop,Love;English
10798;"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;Blues,Rock;English
10454;"New York, New York";"Frank Sinatra";1979;0;0;2008-01-07;Soundtrack,Jazz;English
83192;"Die with a Smile";"Lady Gaga";2024;1;0;2024-09-10;"Soft rock,Pop,Duet";English
48087;"Girl Crush";"Little Big Town";2014;0;0;2014-12-22;Country,Love;English
